Date, all fuels (utility-scale), coal, petroleum liquids, petroleum coke, natural gas, other gases, nuclear, conventional hydroelectric, other renewables, hydro-electric pumped storage, other
2001-01-01,332493,177287,17300,812,42389,718,68707,18852,6025,-589,992
2001-02-01,282940,149735,9626,716,37967,676,61272,17473,5310,-707,872
2001-03-01,300707,155269,10981,752,44364,769,62141,20477,5795,-773,931
2001-04-01,278079,140671,10237,627,45843,698,56003,18013,5827,-796,957
2001-05-01,300492,151593,9641,749,50934,785,61512,19176,5738,-623,986
2001-06-01,327694,162616,10997,825,57603,733,68023,20728,5964,-774,978
2001-07-01,357614,179060,10050,992,73030,840,69166,18079,6244,-871,1022
2001-08-01,370533,183116,13235,994,78410,848,68389,18914,6293,-715,1048
2001-09-01,306929,154158,6432,911,60181,767,63378,15256,5770,-928,1004
2001-10-01,294734,148931,5573,961,56376,737,60461,15235,6050,-615,1025
2001-11-01,278934,144117,5090,841,44491,699,62342,15413,5713,-811,1040
2001-12-01,305496,157402,5484,1055,47541,770,67431,19346,6038,-623,1051
2002-01-01,319941,164358,5434,1257,48413,923,70926,21795,6599,-750,988
2002-02-01,281826,143049,4388,1275,44308,760,61658,20192,5800,-586,981
2002-03-01,302549,151486,6937,1280,51214,904,63041,21009,6354,-684,1008
2002-04-01,289848,142305,6535,1299,49146,890,58437,24247,6543,-585,1032
2002-05-01,307675,151406,6664,1462,50275,910,63032,26663,6760,-539,1041
2002-06-01,341023,164668,6429,1367,65631,1009,66372,28213,7066,-863,1132
2002-07-01,381542,183195,8507,1406,83917,1071,70421,25471,7056,-998,1496
2002-08-01,374586,179955,8194,1543,84477,1117,70778,21084,7044,-935,1329
2002-09-01,331279,165366,6670,1405,68161,1053,64481,17087,6582,-777,1250
2002-10-01,307059,159099,6910,1206,54201,908,60493,17171,6559,-681,1193
2002-11-01,296290,156054,5174,1113,45161,894,61520,19730,6250,-666,1060
2002-12-01,324834,172190,6859,1252,46100,1025,68905,21669,6497,-680,1015
2003-01-01,341989,181313,11518,1124,50176,1283,69211,20600,6500,-802,1066
2003-02-01,299249,156982,9740,1030,43547,1132,60942,19780,5962,-759,893
2003-03-01,304317,155002,9347,876,46699,1267,59933,24202,6719,-778,1051
2003-04-01,285756,141960,7314,1267,45195,1305,56776,24759,6674,-546,1052
2003-05-01,307545,150263,6841,1212,49373,1310,62202,29395,6473,-597,1073
2003-06-01,328694,162285,9534,1465,54453,1235,64181,28586,6678,-762,1038
2003-07-01,374396,181852,10542,1659,76938,1292,69653,24843,7009,-745,1353
2003-08-01,381816,185332,10836,1642,83250,1284,69024,22972,6790,-806,1493
2003-09-01,323136,164910,7114,1549,59090,1309,63584,18480,6537,-769,1331
2003-10-01,306741,159323,6970,1640,51824,1291,60016,18428,6548,-615,1315
2003-11-01,297867,158223,4939,1541,45328,1451,59600,19715,6531,-695,1234
2003-12-01,331680,176291,8040,1666,44035,1441,68612,24044,7067,-661,1146
2004-01-01,346546,180657,13509,1925,48253,1182,70806,22983,6888,-768,1110
2004-02-01,314280,161503,7701,1665,50320,1194,64102,20914,6489,-692,1084
2004-03-01,308812,154288,8098,1634,49801,1292,63285,22914,7001,-653,1152
2004-04-01,290560,141471,7400,1641,51822,1345,58620,20888,6895,-669,1145
2004-05-01,327380,157016,8511,1725,62022,1302,64917,24020,7339,-689,1216
2004-06-01,345085,167642,9185,1657,64686,1333,67734,25252,7098,-718,1217
2004-07-01,377332,181492,10337,1761,79290,1284,71975,23318,7267,-693,1301
2004-08-01,368439,178181,9185,1893,77821,1290,71068,21592,7027,-818,1200
2004-09-01,335622,164253,7070,1607,67854,1341,65932,20525,6697,-770,1113
2004-10-01,312450,157605,5928,1738,57229,1269,62530,18863,6851,-703,1141
2004-11-01,302101,157436,5270,1604,49693,1216,58941,20937,6492,-665,1177
2004-12-01,341948,176755,8197,1903,51310,1205,68617,26211,7024,-650,1376
2005-01-01,343121,177014,10261,1929,51338,1126,69828,24272,7004,-725,1075
2005-02-01,298500,155818,5575,1740,44913,1076,60947,21607,6221,-346,950
2005-03-01,317458,163613,6472,1880,51897,1214,61539,22936,7369,-497,1036
